feature_order,paper_feature,feature_family,family_label,paper_feature_set,output_level,sentiment_related,notes
1,speech_length_minutes,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
2,speech_length_words,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
3,words_per_min,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
4,syllables_per_min,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
5,mean_pre_word_pause,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
6,mean_pause_variability,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
7,speech_percentage,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
8,sentiment_pos,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
9,sentiment_neg,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
10,sentiment_neu,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
11,sentiment_overall,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
12,sentiment_vader_pos,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
13,sentiment_vader_neg,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
14,sentiment_vader_neu,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
15,sentiment_vader_overall,sentiment,Sentiment / VADER distribution,paper_82,summary,True,
16,mattr_5,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
17,mattr_10,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
18,mattr_25,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
19,mattr_50,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
20,mattr_100,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
21,first_person_percentage,first_person,First-person style and affect,paper_82,summary,False,
22,prop_verb_past,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
23,prop_function_words,lexical_style,Lexical style / morphosyntax,paper_82,summary,False,
24,first_person_sentiment_positive,first_person,First-person style and affect,paper_82,summary,True,
25,first_person_sentiment_negative,first_person,First-person style and affect,paper_82,summary,True,
26,first_person_sentiment_overall,first_person,First-person style and affect,paper_82,summary,True,
27,word_repeat_percentage,other,Other,paper_82,summary,False,
28,phrase_repeat_percentage,other,Other,paper_82,summary,False,
29,word_coherence_mean,coherence,Discourse coherence / similarity,paper_82,summary,False,
30,num_turns,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
31,num_phrases,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
32,num_one_word_phrases,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
33,num_one_word_turns,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
34,mean_turn_length_minutes,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
35,mean_turn_length_words,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
36,mean_phrases_per_turn,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
37,mean_pre_turn_pause,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
38,speaker_percentage,structure_timing,Timing / participation / dialogue structure,paper_82,summary,False,
39,first_order_sentence_tangeniality_mean,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
40,first_order_sentence_tangeniality_var,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
41,second_order_sentence_tangeniality_mean,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
42,second_order_sentence_tangeniality_var,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
43,turn_to_turn_tangeniality_mean,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
44,turn_to_turn_tangeniality_var,coherence,Discourse coherence / similarity,paper_82,summary,False,legacy packaged spelling retained
